**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (0.652973,-0.456477,0.997996) 133.395 (26.6722,6.60461,0) 118 -8.15379e-06 (-3.91283e-06,-9.68901e-07,0) 489228 100775 0.000272664
subcontact = (0.871596,-0.386,0.997993) 213.442 (28.1884,1.9003,0) 117 -1.30467e-05 (-4.13525e-06,-2.78776e-07,0) 782800 103616 0.000272664
subcontact = (1.31,-0.655001,0.997986) 19749.9 (1903.91,-640.243,0) 116 -1.42035e-05 (-3.28615e-06,1.10506e-06,0) 852208 86674.5 0.023175
subcontact = (1.232,-0.865001,0.997991) 6367.68 (813.235,-266.226,0) 115 -8.55871e-06 (-2.62334e-06,8.58794e-07,0) 513523 69008.3 0.0124
subcontact = (0.879004,-0.386,0.997987) 21420.8 (2804.15,173.182,0) 114 -1.31621e-05 (-4.13525e-06,-2.55389e-07,0) 789725 103578 0.0271243
subcontact = (0.673004,-0.385999,0.99799) 7790.77 (1348.79,295.395,0) 113 -9.95244e-06 (-4.13528e-06,-9.05656e-07,0) 597147 105832 0.0130467
subcontact = (0.900003,-0.805,0.997995) 8767.11 (2208.96,148.582,0) 112 -4.65145e-06 (-2.81276e-06,-1.89195e-07,0) 279087 70477.9 0.0314135
subcontact = (0.565003,-0.765999,0.998) 540.002 (37.2021,30.6577,0) 111 -2.54506e-07 (-2.9359e-06,-1.24666e-06,0) 15270.3 1363.2 0.0353628
subcontact = (0.879003,-0.655,0.997993) 14867.5 (2718.61,211.329,0) 110 -7.48816e-06 (-3.28621e-06,-2.55451e-07,0) 449289 82403 0.0330912
contact = 2 1 2 1 (0.919298,-0.648974,1.74605) (0.0648548,-0.154491,-0.985863)
subcontact = (1.23202,-0.876984,1.80199) 1107.92 (185.785,302.784,-35.2262) 109 -2.76293e-06 (-1.18646e-06,-2.0827e-06,2.4832e-07) 165776 53414.3 0.00668324
subcontact = (1.31202,-0.654985,1.77299) 5430.97 (389.961,415.611,-39.4751) 108 -7.21621e-06 (-1.55068e-06,-1.96718e-06,2.06257e-07) 432973 45544 0.0125435
subcontact = (0.673015,-0.385985,1.68899) 4917.83 (333.936,500.922,-56.5295) 107 -1.22971e-05 (-2.00403e-06,-3.00616e-06,3.39248e-07) 737827 90720.1 0.00666528
subcontact = (0.879015,-0.385985,1.70199) 10310.7 (693.773,923.653,-99.1021) 106 -1.23874e-05 (-2.00042e-06,-2.66325e-06,2.8575e-07) 743243 83577.2 0.0138726
subcontact = (0.879015,-0.654984,1.74399) 7400.42 (683.076,1164.74,-137.585) 105 -7.03153e-06 (-1.55766e-06,-2.65603e-06,3.13745e-07) 421892 77375.9 0.017541
subcontact = (0.562015,-0.768983,1.741) 5091.33 (630.785,1451.87,-186.02) 104 -4.62526e-06 (-1.3753e-06,-3.1655e-06,4.05579e-07) 277515 86877.6 0.0183461
subcontact = (0.898015,-0.814983,1.771) 3932.72 (550.62,1121.3,-139.492) 103 -3.85175e-06 (-1.29428e-06,-2.63573e-06,3.27889e-07) 231105 73865.3 0.017017
subcontact = (1.31202,-0.654984,1.77298) 5431.01 (389.962,415.61,-39.4749) 102 -7.21626e-06 (-1.55068e-06,-1.96718e-06,2.06257e-07) 432975 45544 0.0125435
subcontact = (1.23202,-0.876982,1.80199) 1107.94 (185.786,302.784,-35.2261) 101 -2.76298e-06 (-1.18647e-06,-2.0827e-06,2.48319e-07) 165779 53414.3 0.00668324
subcontact = (0.879018,-0.385984,1.70197) 10310.7 (693.774,923.652,-99.1019) 100 -1.23874e-05 (-2.00042e-06,-2.66325e-06,2.85749e-07) 743246 83577.2 0.0138726
subcontact = (0.673018,-0.385983,1.68898) 4917.85 (333.937,500.922,-56.5294) 99 -1.22972e-05 (-2.00404e-06,-3.00616e-06,3.39247e-07) 737830 90720.1 0.00666528
subcontact = (0.898016,-0.814981,1.77099) 3932.77 (550.622,1121.3,-139.492) 98 -3.8518e-06 (-1.29429e-06,-2.63572e-06,3.27889e-07) 231108 73865.3 0.017017
